word,categories
:l,vader_negative
:o,vader_negative
:o),vader_very_positive
:o/,vader_negative
:o\,vader_negative
:o|,vader_negative
:p,vader_positive
:s,vader_negative
:{,vader_negative
:|,vader_negative
:},vader_very_positive
:þ,vader_positive
;),vader_positive
;-),vader_positive
;-*,vader_very_positive
;-],vader_positive
;],vader_positive
;^),vader_positive
;d,vader_positive
</3,vader_very_negative
<3,vader_positive
<:,vader_very_positive
<:-|,vader_negative
=),vader_very_positive
=-3,vader_very_positive
=-d,vader_very_positive
=/,vader_negative
=3,vader_very_positive
=\,vader_negative
=],vader_positive
=d,vader_very_positive
=l,vader_negative
=p,vader_positive
=|,vader_negative
>-:,vader_very_negative
>.<,vader_negative
>:,vader_very_negative
>:(,vader_very_negative
>:),vader_positive
>:-(,vader_very_negative
>:-),vader_negative
>:/,vader_negative
>:[,vader_very_negative
>:\,vader_negative
>:o,vader_negative
>:p,vader_positive
>;(,vader_very_negative
>;),vader_positive
>_>^,vader_very_positive
@:,vader_very_negative
@>-->--,vader_very_positive
@}-;-'---,vader_very_positive
[-;,vader_positive
[:,vader_positive
[;,vader_positive
[=,vader_positive
\-:,vader_negative
\:,vader_negative
\:<,vader_negative
\=,vader_negative
\^:,vader_negative
\o/,vader_very_positive
\o:,vader_negative
]-:,vader_very_negative
]:,vader_negative
]:<,vader_very_negative
^<_<,vader_positive
^urs,vader_very_negative
aas,vader_very_positive
aayf,vader_very_positive
abacus,nrc_trust
abandon,"afinn_negative, nrc_fear, nrc_negative, nrc_sadness, vader_negative"
abandoned,"afinn_negative, loneliness_isolation, nrc_anger, nrc_fear, nrc_negative, nrc_sadness, sadness_extended, vader_very_negative"
abandoner,vader_negative
abandoners,vader_negative
abandoning,vader_negative
abandonment,"nrc_anger, nrc_fear, nrc_negative, nrc_sadness, nrc_surprise, vader_very_negative"
abandonments,vader_negative
abandons,"afinn_negative, vader_negative"
abba,nrc_positive
abbot,nrc_trust
abducted,"afinn_negative, vader_very_negative"
abduction,"afinn_negative, nrc_fear, nrc_negative, nrc_sadness, nrc_surprise, vader_very_negative"
abductions,"afinn_negative, vader_very_negative"
aberrant,nrc_negative
aberration,"nrc_disgust, nrc_negative"
abhor,"afinn_very_negative, nrc_anger, nrc_disgust, nrc_fear, nrc_negative, vader_very_negative"
abhorred,"afinn_very_negative, vader_very_negative"
abhorrent,"afinn_very_negative, disgust_extended, nrc_anger, nrc_disgust, nrc_fear, nrc_negative, vader_very_negative"
abhors,"afinn_very_negative, vader_very_negative"
abilities,"afinn_positive, vader_positive"
ability,"afinn_positive, nrc_positive, vader_positive"
abject,"nrc_disgust, nrc_negative"
abnormal,"nrc_disgust, nrc_negative"
aboard,"afinn_positive, vader_positive"
abolish,"nrc_anger, nrc_negative"
abolition,nrc_negative
abominable,"nrc_disgust, nrc_fear, nrc_negative"
abomination,"nrc_anger, nrc_disgust, nrc_fear, nrc_negative"
abort,nrc_negative
aborted,afinn_negative
abortion,"nrc_disgust, nrc_fear, nrc_negative, nrc_sadness"
abortive,"nrc_negative, nrc_sadness"
aborts,afinn_negative
abovementioned,nrc_positive
abrasion,nrc_negative
abrogate,nrc_negative
abrupt,nrc_surprise
abscess,"nrc_negative, nrc_sadness"
absence,"nrc_fear, nrc_negative, nrc_sadness"
absent,"nrc_negative, nrc_sadness"
absentee,"afinn_negative, nrc_negative, nrc_sadness, vader_negative"
absenteeism,nrc_negative
absentees,"afinn_negative, vader_negative"
absolute,nrc_positive
absolution,"nrc_joy, nrc_positive, nrc_trust"
absolve,"afinn_positive, vader_positive"
absolved,"afinn_positive, vader_positive"
absolves,"afinn_positive, vader_positive"
absolving,"afinn_positive, vader_positive"
absorbed,"afinn_positive, nrc_positive"
absurd,nrc_negative
absurdity,nrc_negative
abundance,"nrc_anticipation, nrc_disgust, nrc_joy, nrc_negative, nrc_positive, nrc_trust"
abundant,"nrc_joy, nrc_positive"
abuse,"afinn_very_negative, nrc_anger, nrc_disgust, nrc_fear, nrc_negative, nrc_sadness, vader_very_negative"
abused,"afinn_very_negative, vader_very_negative"
abuser,vader_very_negative
abusers,vader_very_negative
abuses,"afinn_very_negative, vader_very_negative"
abusing,"afinn_very_negative, vader_very_negative"
abusive,"afinn_very_negative, vader_very_negative"
abusively,vader_very_negative
abusiveness,vader_very_negative
abusivenesses,vader_very_negative
abysmal,"nrc_negative, nrc_sadness"
abyss,"nrc_fear, nrc_negative, nrc_sadness"
academic,"nrc_positive, nrc_trust"
academy,nrc_positive
accelerate,nrc_anticipation
accept,"afinn_positive, vader_positive"
acceptabilities,vader_positive
acceptability,vader_positive
acceptable,"afinn_positive, nrc_positive, vader_positive"
acceptableness,vader_positive
acceptably,vader_positive
acceptance,"afinn_positive, nrc_positive, vader_very_positive"
acceptances,vader_positive
acceptant,vader_positive
acceptation,vader_positive
acceptations,vader_positive
accepted,"afinn_positive, vader_positive"
accepting,"afinn_positive, vader_positive"
accepts,"afinn_positive, vader_positive"
accessible,"afinn_positive, nrc_positive"
accident,"afinn_negative, nrc_fear, nrc_negative, nrc_sadness, nrc_surprise, vader_very_negative"
accidental,"afinn_negative, nrc_fear, nrc_negative, nrc_surprise, vader_negative"
accidentally,"afinn_negative, nrc_surprise, vader_negative"
accidents,"afinn_negative, vader_negative"
acclaim,afinn_positive
acclaimed,afinn_positive
accolade,"afinn_positive, nrc_anticipation, nrc_joy, nrc_positive, nrc_surprise, nrc_trust"
accommodation,nrc_positive
accompaniment,"nrc_anticipation, nrc_joy, nrc_positive, nrc_trust"
accomplish,"afinn_positive, nrc_joy, nrc_positive, vader_positive"
accomplished,"afinn_positive, nrc_joy, nrc_positive, pride_confidence, vader_positive"
accomplishes,"afinn_positive, vader_positive"
accomplishment,"afinn_positive, nrc_positive"
accomplishments,afinn_positive
accord,"nrc_positive, nrc_trust"
account,nrc_trust
accountability,"nrc_positive, nrc_trust"
accountable,"nrc_positive, nrc_trust"
accountant,nrc_trust
accounts,nrc_trust
accredited,"nrc_positive, nrc_trust"
accueil,nrc_positive
accurate,"nrc_positive, nrc_trust"
accursed,"nrc_anger, nrc_fear, nrc_negative, nrc_sadness"
accusation,"afinn_negative, nrc_anger, nrc_disgust, nrc_negative, vader_negative"
accusations,"afinn_negative, vader_negative"
accusative,nrc_negative
accuse,"afinn_negative, vader_negative"
accused,"afinn_negative, nrc_anger, nrc_fear, nrc_negative, vader_negative"
accuser,"nrc_anger, nrc_fear, nrc_negative"
accuses,"afinn_negative, vader_negative"
accusing,"afinn_negative, nrc_anger, nrc_fear, nrc_negative, vader_negative"
ace,nrc_positive
ache,"afinn_negative, nrc_negative, nrc_sadness, vader_negative"
ached,vader_negative
aches,vader_negative
achievable,"afinn_positive, vader_positive"
achieve,"nrc_joy, nrc_positive, nrc_trust"
achievement,"nrc_anticipation, nrc_joy, nrc_positive, nrc_trust"
aching,"afinn_negative, nrc_negative, nrc_sadness, vader_very_negative"
acid,nrc_negative
acknowledgment,nrc_positive
acquire,nrc_positive
acquiring,"nrc_anticipation, nrc_positive"
acquit,"afinn_positive, vader_positive"
acquits,"afinn_positive, vader_positive"
acquitted,"afinn_positive, vader_positive"
acquitting,"afinn_positive, vader_positive"
acrimonious,"afinn_very_negative, vader_negative"
acrobat,"nrc_fear, nrc_joy, nrc_positive, nrc_trust"
action,nrc_positive
actionable,"nrc_anger, nrc_disgust, nrc_negative"
active,"afinn_positive, vader_positive"
actively,vader_positive
activeness,vader_positive
activenesses,vader_positive
actives,vader_positive
actual,nrc_positive
acuity,nrc_positive
acumen,nrc_positive
adapt,nrc_positive
adaptable,nrc_positive
adder,"nrc_anger, nrc_disgust, nrc_fear, nrc_negative, nrc_sadness"
addiction,nrc_negative
addresses,"nrc_anticipation, nrc_positive"
adept,nrc_positive
adequacy,nrc_positive
adequate,"afinn_positive, vader_positive"
adhering,nrc_trust
adipose,nrc_negative
adjudicate,"nrc_fear, nrc_negative"
adjunct,nrc_positive
administrative,nrc_trust
admirability,vader_very_positive
admirable,"nrc_joy, nrc_positive, nrc_trust, vader_very_positive"
admirableness,vader_very_positive
admirably,vader_very_positive
admiral,"nrc_positive, nrc_trust, vader_positive"
admirals,vader_positive
admiralties,vader_positive
admiralty,vader_positive
admiration,"nrc_joy, nrc_positive, nrc_trust, vader_very_positive"
admirations,vader_positive
admire,"afinn_very_positive, nrc_positive, nrc_trust, vader_very_positive"
admired,"afinn_very_positive, pride_confidence, vader_very_positive"
admirer,"nrc_positive, vader_positive"
admirers,vader_positive
admires,"afinn_very_positive, vader_positive"
admiring,"afinn_very_positive, vader_positive"
admiringly,vader_very_positive
admissible,"nrc_positive, nrc_trust"
admit,"afinn_negative, vader_positive"
admits,"afinn_negative, vader_positive"
admitted,"afinn_negative, vader_positive"
admonish,afinn_negative
admonished,"afinn_negative, vader_negative"
admonition,"nrc_fear, nrc_negative"
adopt,"afinn_positive, vader_positive"
adopts,"afinn_positive, vader_positive"
adorability,vader_very_positive
adorable,"afinn_very_positive, nrc_joy, nrc_positive, vader_very_positive"
adorableness,vader_very_positive
adorably,vader_very_positive
adoration,"afinn_very_positive, nrc_joy, nrc_positive, nrc_trust, vader_very_positive"
adorations,vader_very_positive
adore,"afinn_very_positive, nrc_anticipation, nrc_joy, nrc_positive, nrc_trust, vader_very_positive"
adored,"afinn_very_positive, vader_positive"
adorer,vader_positive
adorers,vader_very_positive
adores,"afinn_very_positive, vader_positive"
adoring,"afinn_very_positive, love_affection, vader_very_positive"
adoringly,"afinn_very_positive, vader_very_positive"
adorn,vader_positive
adorned,vader_positive
adorner,vader_positive
adorners,vader_positive
adorning,vader_positive
adornment,vader_positive
adornments,vader_positive
adorns,vader_positive
adrift,"nrc_anticipation, nrc_fear, nrc_negative, nrc_sadness"
adulterated,nrc_negative
adultery,"nrc_disgust, nrc_negative, nrc_sadness"
advance,"nrc_anticipation, nrc_fear, nrc_joy, nrc_positive, nrc_surprise"
advanced,"afinn_positive, nrc_positive, vader_positive"
advancement,nrc_positive
advantage,"afinn_positive, nrc_positive, vader_positive"
advantaged,vader_positive
advantageous,"afinn_positive, nrc_positive, vader_positive"
advantageously,"afinn_positive, vader_positive"
advantageousness,vader_positive
advantages,"afinn_positive, vader_positive"
advantaging,vader_positive
advent,"nrc_anticipation, nrc_joy, nrc_positive, nrc_trust"
adventure,"afinn_positive, nrc_anticipation, nrc_positive, vader_positive"
adventured,vader_positive
adventurer,vader_positive
adventurers,vader_positive
adventures,"afinn_positive, vader_positive"
adventuresome,vader_positive
adventuresomeness,vader_positive
adventuress,vader_positive
adventuresses,vader_positive
adventuring,vader_very_positive
adventurism,vader_positive
adventurist,vader_positive
adventuristic,vader_positive
adventurists,vader_positive
adventurous,"afinn_positive, nrc_positive, vader_positive"
adventurously,vader_positive
adventurousness,vader_positive
adversarial,vader_negative
adversaries,vader_negative
adversary,"afinn_negative, nrc_anger, nrc_negative, vader_negative"
adversative,vader_negative
adversatively,vader_negative
adversatives,vader_negative
adverse,"nrc_anger, nrc_disgust, nrc_fear, nrc_negative, nrc_sadness, vader_negative"
adversely,vader_negative
adverseness,vader_negative
adversities,vader_negative
adversity,"nrc_anger, nrc_fear, nrc_negative, nrc_sadness, vader_negative"
advice,nrc_trust
advisable,"afinn_positive, nrc_positive, nrc_trust"
advise,"nrc_positive, nrc_trust"
advised,nrc_trust
adviser,"nrc_positive, nrc_trust"
advocacy,"nrc_anger, nrc_anticipation, nrc_joy, nrc_positive, nrc_trust"
advocate,nrc_trust
aesthetic,nrc_positive
aesthetics,"nrc_joy, nrc_positive"
affable,nrc_positive
affected,"afinn_negative, vader_negative"
affection,"afinn_very_positive, nrc_joy, nrc_positive, nrc_trust, vader_very_positive"
affectional,vader_positive
affectionally,vader_positive
affectionate,"afinn_very_positive, love_affection, vader_positive"
affectionately,vader_very_positive
affectionateness,afinn_very_positive
affectioned,vader_positive
affectionless,vader_very_negative
affections,vader_positive
affiliated,nrc_positive
affirm,"nrc_positive, nrc_trust"
affirmation,nrc_positive
affirmative,nrc_positive
affirmatively,"nrc_positive, nrc_trust"
afflict,"nrc_fear, nrc_negative, nrc_sadness"
afflicted,"afinn_negative, nrc_negative, vader_negative"
affliction,"nrc_disgust, nrc_fear, nrc_negative, nrc_sadness"
affluence,"nrc_joy, nrc_positive"
affluent,nrc_positive
afford,nrc_positive
affordable,afinn_positive
affront,"nrc_anger, nrc_disgust, nrc_fear, nrc_negative, nrc_sadness, nrc_surprise"
affronted,"afinn_negative, vader_positive"
aficionados,afinn_positive
afraid,"afinn_negative, fear_extended, nrc_fear, nrc_negative"
aftermath,"nrc_anger, nrc_disgust, nrc_fear, nrc_negative, nrc_sadness"
aftertaste,nrc_negative
afu,vader_very_negative
aga,"nrc_fear, nrc_positive, nrc_trust"
aggravate,"afinn_negative, vader_very_negative"
aggravated,"afinn_negative, anger_extended, nrc_anger, nrc_negative, vader_negative"
aggravates,"afinn_negative, vader_negative"
aggravating,"afinn_negative, nrc_anger, nrc_negative, nrc_sadness, vader_negative"
aggravation,"nrc_anger, nrc_disgust, nrc_negative"
aggress,vader_negative
aggressed,vader_negative
aggresses,vader_negative
aggressing,vader_negative
aggression,"afinn_negative, nrc_anger, nrc_fear, nrc_negative, vader_negative"
aggressions,"afinn_negative, vader_negative"
aggressive,"afinn_negative, nrc_anger, nrc_fear, nrc_negative, vader_negative"
aggressively,vader_negative
aggressiveness,"afinn_negative, vader_negative"
aggressivities,vader_negative
aggressivity,vader_negative
aggressor,"nrc_anger, nrc_fear, nrc_negative, vader_negative"
aggressors,vader_negative
aghast,"afinn_negative, nrc_disgust, nrc_fear, nrc_negative, nrc_surprise, vader_negative"
agile,nrc_positive
agility,nrc_positive
agitate,vader_negative
agitated,"anger_extended, nrc_anger, nrc_negative, vader_very_negative"
agitatedly,vader_negative
agitates,vader_negative
agitating,vader_negative
agitation,"nrc_anger, nrc_negative, vader_negative"
agitational,vader_negative
agitations,vader_negative
agitative,vader_negative
agitato,vader_negative
agitator,vader_negative
agitators,vader_very_negative
agog,"afinn_positive, vader_positive"
agonise,"afinn_very_negative, vader_very_negative"
agonised,"afinn_very_negative, vader_very_negative"
agonises,"afinn_very_negative, vader_very_negative"
agonising,"afinn_very_negative, vader_negative"
agonize,"afinn_very_negative, vader_very_negative"
agonized,"afinn_very_negative, vader_very_negative"
agonizes,"afinn_very_negative, vader_very_negative"
agonizing,"afinn_very_negative, nrc_fear, nrc_negative, vader_very_negative"
agonizingly,vader_very_negative
agony,"nrc_anger, nrc_fear, nrc_negative, nrc_sadness, vader_negative"
agoraphobic,fear_extended
agree,"afinn_positive, nrc_positive, vader_positive"
agreeability,vader_positive
agreeable,"afinn_positive, nrc_positive, nrc_trust, vader_positive"
agreeableness,vader_positive
agreeablenesses,vader_positive
agreeably,vader_positive
agreed,"afinn_positive, nrc_positive, nrc_trust, vader_positive"
agreeing,"nrc_positive, nrc_trust, vader_positive"
agreement,"afinn_positive, nrc_positive, nrc_trust, vader_very_positive"
agreements,vader_positive
agrees,"afinn_positive, vader_positive"
agriculture,nrc_positive
aground,nrc_negative
ahead,nrc_positive
aid,nrc_positive
aiding,nrc_positive
ail,"nrc_negative, nrc_sadness"
ailing,"nrc_fear, nrc_negative, nrc_sadness"
aimless,nrc_negative
airport,nrc_anticipation
airs,"nrc_disgust, nrc_negative"
akin,nrc_trust
alabaster,nrc_positive
alarm,"afinn_negative, nrc_fear, nrc_negative, nrc_surprise, vader_negative"
alarmed,"afinn_negative, fear_extended, vader_negative"
alarming,"nrc_fear, nrc_negative, nrc_surprise, vader_negative"
alarmingly,vader_very_negative
alarmism,vader_negative
alarmist,afinn_negative
alarmists,"afinn_negative, vader_negative"
alarms,vader_negative
alas,"afinn_negative, vader_negative"
alb,nrc_trust
alcoholism,"nrc_anger, nrc_disgust, nrc_fear, nrc_negative, nrc_sadness"
alert,"afinn_negative, vader_positive"
alertness,"nrc_anticipation, nrc_fear, nrc_positive, nrc_surprise"
alerts,"nrc_anticipation, nrc_fear, nrc_surprise"
alien,"nrc_disgust, nrc_fear, nrc_negative"
alienate,"nrc_anger, nrc_disgust, nrc_negative"
alienated,"loneliness_isolation, nrc_negative, nrc_sadness"
alienation,"afinn_negative, nrc_anger, nrc_disgust, nrc_fear, nrc_negative, nrc_sadness, vader_negative"
alimentation,nrc_positive
alimony,nrc_negative
alive,"afinn_positive, joy_extended, nrc_anticipation, nrc_joy, nrc_positive, nrc_trust, vader_positive"
allay,nrc_positive
allegation,"afinn_negative, nrc_anger, nrc_negative"
allegations,afinn_negative
allege,nrc_negative
allegiance,"nrc_positive, nrc_trust"
allegro,nrc_positive
allergic,"afinn_negative, vader_negative"
alleviate,nrc_positive
alleviation,nrc_positive
alliance,nrc_trust
allied,"nrc_positive, nrc_trust"
allow,"afinn_positive, vader_positive"
allowable,nrc_positive
allure,"nrc_anticipation, nrc_joy, nrc_positive, nrc_surprise"
alluring,nrc_positive
ally,"afinn_positive, nrc_positive, nrc_trust"
almighty,nrc_positive
aloha,"nrc_anticipation, nrc_joy, nrc_positive"
alol,vader_very_positive
alone,"afinn_negative, loneliness_isolation, vader_negative"
aloof,nrc_negative
alright,vader_positive
altercation,"nrc_anger, nrc_negative"
altruistic,afinn_positive
amaze,"afinn_positive, nrc_surprise, vader_very_positive"
amazed,"afinn_positive, surprise_extended, vader_very_positive"
amazedly,vader_very_positive
amazement,vader_very_positive
amazements,vader_very_positive
amazes,"afinn_positive, vader_very_positive"
amazing,"afinn_very_positive, joy_extended, vader_very_positive"
amazingly,"nrc_joy, nrc_positive, nrc_surprise"
amazon,vader_positive
amazonite,vader_positive
amazons,vader_negative
amazonstone,vader_positive
amazonstones,vader_positive
ambassador,"nrc_positive, nrc_trust"
ambiguous,nrc_negative
ambition,"nrc_anticipation, nrc_joy, nrc_positive, nrc_trust"
ambitious,"afinn_positive, vader_very_positive"
ambivalent,"afinn_negative, confusion_uncertainty, vader_positive"
ambulance,"nrc_fear, nrc_trust"
ambush,"nrc_anger, nrc_fear, nrc_negative, nrc_surprise"
ambw,vader_very_positive
ameliorate,nrc_positive
amen,"nrc_joy, nrc_positive, nrc_trust"
amenable,nrc_positive
amend,nrc_positive
amends,nrc_positive
amenity,nrc_positive
amiable,nrc_positive
amicable,"afinn_positive, nrc_joy, nrc_positive"
aml,vader_very_positive
ammonia,nrc_disgust
amnesia,nrc_negative
amnesty,"nrc_joy, nrc_positive"
amor,vader_very_positive
amoral,vader_negative
amoralism,vader_negative
amoralisms,vader_negative
amoralities,vader_negative
amorality,vader_negative
amorally,vader_negative
amoretti,vader_positive
amoretto,vader_positive
amorettos,vader_positive
amorino,vader_positive
amorist,vader_positive
amoristic,vader_positive
amorists,vader_positive
amoroso,vader_very_positive
amorous,vader_positive
amorously,vader_very_positive
amorousness,vader_very_positive
amorphous,vader_negative
amorphously,vader_positive
amorphousness,vader_positive
amort,vader_very_negative
amortise,vader_positive
amortised,vader_negative
amortises,vader_positive
amortizable,vader_positive
amortization,"nrc_trust, vader_positive"
amortizations,vader_positive
amortize,vader_negative
amortized,vader_positive
amortizes,vader_positive
amortizing,vader_positive
amour,"nrc_anticipation, nrc_joy, nrc_positive, nrc_trust"
amphetamines,"nrc_disgust, nrc_negative"
amusable,vader_positive
amuse,"afinn_very_positive, nrc_joy, nrc_positive, vader_positive"
amused,"afinn_very_positive, joy_extended, nrc_joy, nrc_positive, vader_positive"
amusedly,vader_very_positive
amusement,"afinn_very_positive, nrc_joy, nrc_positive, vader_positive"
amusements,"afinn_very_positive, vader_positive"
amuser,vader_positive
amusers,vader_positive
amuses,vader_positive
amusia,vader_positive
amusias,vader_negative
amusing,"nrc_joy, nrc_positive, vader_positive"
amusingly,vader_positive
amusingness,vader_positive
amusive,vader_positive
anaconda,"nrc_disgust, nrc_fear, nrc_negative"
anal,nrc_negative
analyst,"nrc_anticipation, nrc_positive, nrc_trust"
anarchism,"nrc_anger, nrc_fear, nrc_negative"
anarchist,"nrc_anger, nrc_fear, nrc_negative"
anarchy,"nrc_anger, nrc_fear, nrc_negative"
anathema,"nrc_anger, nrc_disgust, nrc_fear, nrc_negative, nrc_sadness"
ancestral,nrc_trust
anchor,nrc_positive
anchorage,"nrc_positive, nrc_sadness"
ancient,nrc_negative
angel,"nrc_anticipation, nrc_joy, nrc_positive, nrc_surprise, nrc_trust"
angelic,"nrc_joy, nrc_positive, nrc_trust"
anger,"afinn_very_negative, nrc_anger, nrc_negative, vader_very_negative"
angered,"afinn_very_negative, vader_very_negative"
angering,vader_very_negative
angerly,vader_negative
angers,"afinn_very_negative, vader_very_negative"
angina,"nrc_fear, nrc_negative"
angling,"nrc_anticipation, nrc_negative"
angrier,vader_very_negative
angriest,vader_very_negative
angrily,vader_negative
angriness,vader_negative
angry,"afinn_very_negative, anger_extended, nrc_anger, nrc_disgust, nrc_negative, vader_very_negative"
anguish,"afinn_very_negative, nrc_anger, nrc_fear, nrc_negative, nrc_sadness, vader_very_negative"
anguished,"afinn_very_negative, vader_negative"
anguishes,vader_very_negative
anguishing,vader_very_negative
animate,nrc_positive
animated,"nrc_joy, nrc_positive"
animosity,"afinn_negative, nrc_anger, nrc_disgust, nrc_fear, nrc_negative, nrc_sadness, vader_negative"
animus,"nrc_anger, nrc_negative"
annihilate,"nrc_anger, nrc_fear, nrc_negative"
annihilated,"nrc_anger, nrc_fear, nrc_negative, nrc_sadness"
annihilation,"nrc_anger, nrc_fear, nrc_negative, nrc_sadness"
announcement,nrc_anticipation
annoy,"afinn_negative, nrc_anger, nrc_disgust, nrc_negative, vader_negative"
annoyance,"afinn_negative, nrc_anger, nrc_disgust, nrc_negative, vader_negative"
annoyances,vader_negative
annoyed,"afinn_negative, anger_extended, vader_negative"
annoyer,vader_very_negative
annoyers,vader_negative
annoying,"afinn_negative, nrc_anger, nrc_negative, vader_negative"
annoys,"afinn_negative, vader_negative"
annul,nrc_negative
annulment,"nrc_negative, nrc_sadness"
anomaly,"nrc_fear, nrc_negative, nrc_surprise"
anonymous,nrc_negative
answerable,nrc_trust
antagonism,"nrc_anger, nrc_negative, vader_negative"
antagonisms,vader_negative
antagonist,"nrc_anger, nrc_negative, vader_negative"
antagonistic,"afinn_negative, anger_extended, nrc_anger, nrc_disgust, nrc_negative, vader_negative"
antagonistically,vader_very_negative
antagonists,vader_negative
antagonize,vader_very_negative
antagonized,vader_negative
antagonizes,vader_negative
antagonizing,vader_very_negative
anthrax,"nrc_disgust, nrc_fear, nrc_negative, nrc_sadness"
anti,"afinn_negative, vader_negative"
antibiotics,nrc_positive
antichrist,"nrc_anger, nrc_disgust, nrc_fear, nrc_negative"
anticipating,anticipation_extended
anticipation,"afinn_positive, nrc_anticipation, vader_positive"
anticipatory,nrc_anticipation
antidote,"nrc_anticipation, nrc_positive, nrc_trust"
antifungal,"nrc_positive, nrc_trust"
antipathy,"nrc_anger, nrc_disgust, nrc_negative"
antiquated,nrc_negative
antique,nrc_positive
antiseptic,"nrc_positive, nrc_trust"
antisocial,"nrc_anger, nrc_disgust, nrc_fear, nrc_negative, nrc_sadness"
antithesis,"nrc_anger, nrc_negative"
anxieties,vader_negative
anxiety,"afinn_negative, nrc_anger, nrc_anticipation, nrc_fear, nrc_negative, nrc_sadness, vader_negative"
anxious,"afinn_negative, anticipation_extended, fear_extended, nrc_anticipation, nrc_fear, nrc_negative, stress_anxiety, vader_negative"
anxiously,vader_negative
anxiousness,vader_negative
aok,vader_very_positive
apache,"nrc_fear, nrc_negative"
apathetic,"afinn_very_negative, boredom_apathy, nrc_negative, nrc_sadness, vader_negative"
apathetically,vader_negative
apathies,vader_negative
apathy,"afinn_very_negative, nrc_negative, nrc_sadness, vader_negative"
apeshit,"afinn_very_negative, vader_negative"
aphid,"nrc_disgust, nrc_negative"
aplomb,nrc_positive
apocalyptic,"afinn_negative, vader_very_negative"
apologetic,"nrc_positive, nrc_trust, shame_guilt"
apologise,"afinn_negative, vader_positive"
apologised,"afinn_negative, vader_positive"
apologises,"afinn_negative, vader_positive"
apologising,"afinn_negative, vader_positive"
apologize,"afinn_negative, nrc_positive, nrc_sadness, nrc_trust, vader_positive"
apologized,"afinn_negative, vader_positive"
apologizes,"afinn_negative, vader_positive"
apologizing,"afinn_negative, vader_negative"
apology,"afinn_negative, nrc_positive, vader_positive"
apostle,"nrc_positive, nrc_trust"
apostolic,nrc_trust
appall,vader_very_negative
appalled,"afinn_negative, disgust_extended, vader_very_negative"
appalling,"afinn_negative, nrc_disgust, nrc_fear, nrc_negative, vader_negative"
appallingly,vader_very_negative
appalls,vader_negative
apparition,"nrc_fear, nrc_surprise"
appeal,nrc_anticipation
appealing,afinn_positive
appease,"afinn_positive, vader_positive"
appeased,"afinn_positive, vader_positive"
appeases,"afinn_positive, vader_positive"
appeasing,"afinn_positive, vader_positive"
